Category,Institution,Name,Description,Focus Areas,Contact,Website
Synthetic,"Sustainability Research Institute, University of St.Gallen",Dr. Elisa Müller,Dr. Elisa Müller is a leading researcher at the Sustainability Research Institute at the University of St.Gallen. Her work focuses on developing sustainable business models and practices that integrate environmental and social considerations into corporate strategy. She has published extensively on circular economy and sustainable supply chain management.,Sustainability,elisa.mueller@unisg.ch,"https://www.sustainabilityresearchinstitute,universityofst.gallen.ch"
Synthetic,"Center for Sustainable Innovation, University of St.Gallen",Dr. Luca Schneider,Dr. Luca Schneider is a prominent expert at the Center for Sustainable Innovation at the University of St.Gallen. His research focuses on sustainable development strategies and renewable energy integration. Dr. Schneider has contributed to numerous projects aimed at enhancing energy efficiency and promoting green technologies within urban environments.,Sustainability,luca.schneider@unisg.ch,"https://www.centerforsustainableinnovation,universityofst.gallen.ch"
Synthetic,Center for Responsible Business,Dr. Elisa Meier,"Dr. Elisa Meier is a renowned expert in Corporate Social Responsibility, focusing on sustainable business practices and ethical governance. She leads research at the Center for Responsible Business in St. Gallen, where she collaborates with multinational corporations to integrate CSR into their core strategies.",Corporate Social Responsibility,elisa.meier@crbsg.ch,https://www.centerforresponsiblebusiness.ch
Synthetic,Institute for Sustainable Business Practices,Prof. Lukas Schneider,"Prof. Lukas Schneider is a leading authority on Corporate Social Responsibility, specializing in the integration of sustainability into corporate strategy and operations. As the director of the Institute for Sustainable Business Practices in St. Gallen, he conducts research on innovative CSR frameworks and advises companies on ethical business models.",Corporate Social Responsibility,lukas.schneider@isbp-stgallen.ch,https://www.instituteforsustainablebusinesspractices.ch
Synthetic,"Latin American Studies Centre, University of St.Gallen",Dr. Lukas Meier,Dr. Lukas Meier is a renowned expert in Latin American economics and sustainable development. He leads various research projects focusing on economic integration and environmental policies in Latin America. His work includes collaborations with local governments and NGOs to promote sustainable agricultural practices and economic resilience in the region.,Latin America,lukas.meier@las.unisg.ch,"https://www.latinamericanstudiescentre,universityofst.gallen.ch"
Synthetic,"Swiss Institute for Latin American Studies, University of St.Gallen",Dr. Anna Müller,"Dr. Anna Müller is a distinguished scholar specializing in Latin American politics and social movements. She conducts in-depth research on democratic governance and human rights in the region, often partnering with universities and advocacy groups across Latin America. Her work aims to enhance understanding of political transitions and civic engagement through comparative studies and fieldwork.",Latin America,anna.mueller@silas.unisg.ch,"https://www.swissinstituteforlatinamericanstudies,universityofst.gallen.ch"
Synthetic,University of St.Gallen (HSG),Lukas Meier,"Lukas Meier is a professor at the University of St.Gallen, specializing in International Business Strategy. He focuses on cross-border trade dynamics and multinational corporate strategies, with a particular interest in emerging markets. He has published extensively on global supply chain management and international market entry strategies.",International Business,lukas.meier@unisg.ch,https://www.universityofst.gallenhsg.ch
Synthetic,Swiss Institute for International Economics and Applied Economic Research (SIAW-HSG),Sophie Keller,"Sophie Keller is a senior researcher at the Swiss Institute for International Economics and Applied Economic Research, focusing on International Business and Trade Policy. Her work involves analyzing the impact of international trade agreements on European economies and advising multinational companies on global expansion strategies. She is particularly known for her research on the effects of digitalization on international trade.",International Business,sophie.keller@siaw.unisg.ch,https://www.swissinstituteforinternationaleconomicsandappliedeconomicresearchsiaw-hsg.ch
Synthetic,"Institute for Emerging Market Studies, University of St. Gallen",Simon Meier,"Simon Meier is a leading expert in Emerging Markets with a focus on economic development and investment strategies in Southeast Asia and Sub-Saharan Africa. At the Institute for Emerging Market Studies, he conducts in-depth research on market entry strategies and the impact of digital transformation in these regions.",Emerging Markets,simon.meier@iems.unisg.ch,"https://www.instituteforemergingmarketstudies,universityofst.gallen.ch"
Synthetic,St. Gallen Center for Emerging Economies,Lukas Schneider,"Lukas Schneider is a renowned expert in Emerging Markets, specializing in the economic dynamics and financial systems of Eastern Europe and Latin America. At the St. Gallen Center for Emerging Economies, he leads research projects focusing on sustainable development and the integration of digital finance solutions in these regions.",Emerging Markets,lukas.schneider@sgee.unisg.ch,https://www.st.gallencenterforemergingeconomies.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Müller,"Lukas Müller is a leading researcher in the field of Sustainable Construction at the Department of Architecture, Civil Engineering & Landscape Architecture at OST. His work focuses on the development of eco-friendly building materials and energy-efficient construction methods. Lukas has published numerous papers on sustainable urban development and is actively involved in projects that aim to reduce the carbon footprint of buildings in Switzerland.",Sustainable Construction,lukas.mueller@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,"Institute of Sustainable Built Environment, St. Gallen",Elena Fischer,Elena Fischer is a renowned expert in Sustainable Construction at the Institute of Sustainable Built Environment in St. Gallen. Her research focuses on integrating renewable energy systems into building designs and promoting the use of sustainable materials. Elena is actively involved in international collaborations to advance green building standards and is a frequent speaker at conferences on environmental impact reduction in urban construction.,Sustainable Construction,elena.fischer@isbe-stgallen.ch,"https://www.instituteofsustainablebuiltenvironment,st.gallen.ch"
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Meier,"Lukas Meier is a leading expert in sustainable infrastructure development and earthquake-resistant building technologies. He is a professor at the Department of Architecture, Civil Engineering & Landscape Architecture at OST, where he conducts research and teaches courses on structural engineering and environmental impact assessment.",Civil Engineering,lukas.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Clara Müller,"Clara Müller is a renowned expert in urban water management and sustainable infrastructure design. She is a senior researcher at the Department of Architecture, Civil Engineering & Landscape Architecture at OST, where she focuses on developing innovative solutions for flood risk management and green urban infrastructure.",Civil Engineering,clara.mueller@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Meier,"Lukas Meier is a renowned expert in Landscape Architecture at the Eastern Switzerland University of Applied Sciences (OST). He specializes in sustainable landscape design and urban green infrastructure, focusing on integrating ecological principles into urban planning. Lukas has led several research projects aimed at improving biodiversity in urban areas and is a frequent contributor to international conferences on landscape sustainability.",Landscape Architecture,lukas.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Hochschule für Technik Rapperswil (HSR),Sophie Keller,"Sophie Keller is a distinguished expert in Landscape Architecture at Hochschule für Technik Rapperswil (HSR). Her work focuses on designing resilient landscapes that adapt to climate change, with a strong emphasis on water-sensitive urban design and ecological restoration. Sophie leads several community-based projects that aim to enhance urban green spaces and promote sustainable urban living. She is a well-respected figure in the European landscape architecture community and regularly publishes in leading journals on sustainable landscape practices.",Landscape Architecture,sophie.keller@hsr.ch,https://www.hochschulefürtechnikrapperswilhsr.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Müller,"Lukas Müller is a senior lecturer and researcher at the Department of Computer Science at OST. He specializes in software architecture, agile methodologies, and the development of scalable web applications. With over 15 years of experience in the field, Lukas has led numerous projects focused on enhancing software development practices in both academic and industrial settings.",Software Development,lukas.mueller@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,"Software Innovation Lab, St. Gallen",Clara Schmid,"Clara Schmid is a lead software engineer and project manager at the Software Innovation Lab in St. Gallen. She specializes in developing advanced algorithms for machine learning applications and has extensive experience in cloud-native software development. Clara has played a key role in several high-impact projects that aim to integrate artificial intelligence into everyday applications, enhancing user experience and operational efficiency.",Software Development,clara.schmid@silab.ch,"https://www.softwareinnovationlab,st.gallen.ch"
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Dr. Annalise Müller,Dr. Annalise Müller is a leading researcher in Nursing Science at the Eastern Switzerland University of Applied Sciences (OST). Her work focuses on improving patient care through evidence-based practices and innovative health technology integration. She is particularly known for her research on enhancing the quality of life for elderly patients in long-term care facilities.,Nursing Science,annalise.mueller@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Dr. Lukas Schmid,Dr. Lukas Schmid is a distinguished expert in Nursing Science at the Eastern Switzerland University of Applied Sciences (OST). His research emphasizes the development of community health initiatives and the implementation of digital tools to enhance patient education and self-management. Dr. Schmid is renowned for his contributions to advancing nursing practices in rural and underserved areas.,Nursing Science,lukas.schmid@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Dr. Lukas Meier,"Dr. Lukas Meier is a leading researcher and professor at the Eastern Switzerland University of Applied Sciences (OST), specializing in the development of innovative medical imaging technologies and their applications in diagnostics. His work focuses on improving the accuracy and accessibility of imaging techniques to enhance patient outcomes in various medical fields.",Medical Technology,lukas.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Swiss Institute for Medical Technology Research (SIMTR),Dr. Anneliese Fischer,"Dr. Anneliese Fischer is a renowned expert in the field of medical robotics at the Swiss Institute for Medical Technology Research (SIMTR). Her pioneering work focuses on the development and integration of robotic systems in minimally invasive surgical procedures, aiming to enhance precision and reduce recovery times for patients. Dr. Fischer's research has significantly contributed to the advancement of robotic-assisted surgery, making her a leading figure in medical technology innovation.",Medical Technology,anneliese.fischer@simtr.ch,https://www.swissinstituteformedicaltechnologyresearchsimtr.ch
Synthetic,St. Gallen Institute of Healthcare Innovation,Dr. Martina Keller,"Dr. Martina Keller is a leading researcher in healthcare innovation, focusing on improving patient care through technology integration and data-driven decision-making. She has published extensively on the use of AI in predictive healthcare models and collaborates with hospitals across Europe to implement sustainable healthcare solutions.",Healthcare Research,martina.keller@sgi-hi.ch,https://www.st.galleninstituteofhealthcareinnovation.ch
Synthetic,"University of St. Gallen, Department of Health Management",Dr. Lukas Müller,"Dr. Lukas Müller is a renowned expert in healthcare research, specializing in health economics and policy analysis. His work focuses on optimizing healthcare delivery systems and assessing the economic impact of healthcare reforms. Dr. Müller collaborates with governmental bodies and international organizations to develop strategies for improving healthcare access and quality in Europe.",Healthcare Research,lukas.mueller@unsg.ch,"https://www.universityofst.gallen,departmentofhealthmanagement.ch"
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Leonie Müller,"Leonie Müller is a renowned expert in Social Work, specializing in community development and family support programs. She is a senior lecturer and researcher at the Department of Social Work at OST, where she focuses on innovative social interventions and policy development aimed at improving the well-being of vulnerable populations in the St. Gallen region.",Social Work,leonie.muller@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,University of St. Gallen (HSG),Julian Schneider,"Julian Schneider is a distinguished expert in Social Work, with a focus on social policy analysis and the integration of marginalized communities. As a professor and researcher at the University of St. Gallen, he leads multiple projects aimed at enhancing social services and advocating for systemic changes to support equitable access to resources.",Social Work,julian.schneider@unisg.ch,https://www.universityofst.gallenhsg.ch
Synthetic,"University of St. Gallen, Institute for Diversity and Inclusion",Anna Müller,"Anna Müller is a leading expert in Inclusion, working at the University of St. Gallen's Institute for Diversity and Inclusion. She focuses on developing strategies to foster inclusive environments in educational and corporate settings, and her research emphasizes the importance of diversity in enhancing organizational performance and societal well-being.",Inclusion,anna.mueller@unisg.ch,"https://www.universityofst.gallen,institutefordiversityandinclusion.ch"
Synthetic,St. Gallen Institute for Inclusion and Social Innovation,Lukas Schmid,"Lukas Schmid is a renowned specialist in Inclusion, working at the St. Gallen Institute for Inclusion and Social Innovation. His work focuses on creating inclusive policies and practices that enhance accessibility and equity in workplaces and educational institutions. Lukas is dedicated to researching the impact of inclusive environments on social cohesion and organizational success.",Inclusion,lukas.schmid@sgisi.ch,https://www.st.galleninstituteforinclusionandsocialinnovation.ch
Synthetic,"Institute of Social Policy Research, University of St. Gallen",Lukas Meier,"Lukas Meier is a leading researcher in Social Policy, focusing on welfare state reforms and social inequality. He has published extensively on the impacts of policy changes on marginalized communities and is an advisor to several government bodies on social policy development.",Social Policy,lukas.meier@unisg.ch,"https://www.instituteofsocialpolicyresearch,universityofst.gallen.ch"
Synthetic,"Center for Social Policy and Innovation, University of St. Gallen",Clara Müller,"Clara Müller is an esteemed expert in Social Policy, specializing in the analysis of social welfare systems and their effectiveness in addressing economic disparities. Her research focuses on developing innovative policy solutions to enhance social inclusion and equity. Clara frequently collaborates with international organizations to improve social policy frameworks and has authored numerous papers on the role of social innovation in policy reform.",Social Policy,clara.mueller@unisg.ch,"https://www.centerforsocialpolicyandinnovation,universityofst.gallen.ch"
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Meier,"Lukas Meier is a leading expert in mechanical design and dynamics, focusing on sustainable engineering solutions. He is a professor in the Department of Technology & Engineering at OST, where he conducts research on advanced materials and energy-efficient mechanical systems.",Mechanical Engineering,lukas.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Swiss Federal Laboratories for Materials Science and Technology (Empa),Clara Vogel,"Clara Vogel is a distinguished researcher specializing in mechanical systems and advanced materials for industrial applications. She works at Empa in St. Gallen, where her research focuses on the development of energy-efficient machinery and sustainable engineering practices. Clara leads a team that collaborates with industry partners to innovate in the area of mechanical design and thermal management systems.",Mechanical Engineering,clara.vogel@empa.ch,https://www.swissfederallaboratoriesformaterialsscienceandtechnologyempa.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Meier,"Lukas Meier is a leading expert in electrical engineering, specializing in renewable energy systems and smart grid technology. He is a senior researcher at the Eastern Switzerland University of Applied Sciences, where he leads projects focused on the integration of solar power into urban energy networks. His work aims to improve the efficiency and sustainability of electricity distribution.",Electrical Engineering,lukas.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Clara Huber,"Clara Huber is an expert in electrical engineering with a focus on power electronics and electromagnetics. She is an associate professor at the Eastern Switzerland University of Applied Sciences, where she conducts research on improving the efficiency of electric motors and drives. Her work contributes to advancements in industrial automation and electric vehicle technologies.",Electrical Engineering,clara.huber@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Stefan Müller,"Stefan Müller is a leading researcher at the Department of Technology & Engineering at OST, specializing in the development and optimization of solar energy systems. His work focuses on improving photovoltaic efficiency and integrating renewable energy solutions into urban environments.",Renewable Energies,stefan.mueller@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Swiss Institute for Solar Innovation (SISI),Claudia Meier,Claudia Meier is a renowned expert in renewable energy systems at the Swiss Institute for Solar Innovation in St. Gallen. Her research focuses on advanced solar panel technologies and their integration into smart grids to optimize energy distribution and efficiency across Switzerland.,Renewable Energies,claudia.meier@sisi.ch,https://www.swissinstituteforsolarinnovationsisi.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Müller,"Lukas Müller is a leading expert in the field of Microelectronics, specializing in the development of low-power, high-efficiency integrated circuits for wearable technology. He works as an associate professor in the Department of Electrical Engineering at OST, where he leads a research group focused on advancing semiconductor technology for next-generation electronic devices.",Microelectronics,lukas.mueller@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Clara Meier,"Clara Meier is an esteemed researcher in the field of Microelectronics, focusing on the design and optimization of nano-scale transistors for advanced computing applications. She is a senior lecturer in the Department of Electrical Engineering at OST, where she directs the Nanoelectronics Research Lab, pushing the boundaries of miniaturization and efficiency in semiconductor devices.",Microelectronics,clara.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Meier,"Dr. Lukas Meier is a leading expert in the field of Signal Processing, focusing on developing advanced algorithms for noise reduction and signal enhancement. He is a senior lecturer and researcher at the Department of Electrical Engineering at OST, where he integrates cutting-edge signal processing techniques into practical applications in telecommunications and biomedical engineering.",Signal Processing,lukas.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Swiss Institute for Signal Processing Research,Anna Schmid,"Dr. Anna Schmid is an acclaimed researcher in the field of Signal Processing, specializing in machine learning applications for real-time signal analysis. She leads a team at the Swiss Institute for Signal Processing Research in St. Gallen, focusing on innovative techniques for data compression and pattern recognition in audio and communication systems.",Signal Processing,anna.schmid@sispr.ch,https://www.swissinstituteforsignalprocessingresearch.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Meier,"Lukas Meier is a renowned expert in High Voltage Engineering, focusing on the development and testing of insulation materials and systems. He leads several research projects at the Eastern Switzerland University of Applied Sciences (OST) in St. Gallen, where he also lectures on advanced topics in electrical engineering.",High Voltage Engineering,lukas.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Sophie Keller,"Sophie Keller is an esteemed researcher in High Voltage Engineering, specializing in the design and optimization of high-voltage transmission systems. She is a pivotal member of the faculty at the Eastern Switzerland University of Applied Sciences (OST), where she conducts cutting-edge research and teaches courses on electrical power systems and insulation technologies.",High Voltage Engineering,sophie.keller@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Meier,Lukas Meier is a leading expert in Manufacturing Technology at the Eastern Switzerland University of Applied Sciences (OST). His research focuses on advanced manufacturing processes and the integration of Industry 4.0 technologies to enhance production efficiency and sustainability.,Manufacturing Technology,lukas.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Swiss Institute for Manufacturing Technology Research,Claudia Müller,Claudia Müller is a renowned expert in Manufacturing Technology at the Swiss Institute for Manufacturing Technology Research. Her work specializes in the development of smart manufacturing systems and the application of digital twin technologies to optimize production workflows and improve quality control processes.,Manufacturing Technology,claudia.mueller@simtr.ch,https://www.swissinstituteformanufacturingtechnologyresearch.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Meier,Lukas Meier is a leading researcher at the Eastern Switzerland University of Applied Sciences specializing in the development of advanced composite materials for aerospace applications. His work focuses on enhancing the durability and sustainability of materials through innovative nanotechnology integration.,Materials Science,lukas.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Swiss Federal Laboratories for Materials Science and Technology (Empa),Claudia Müller,Claudia Müller is a prominent researcher at the Swiss Federal Laboratories for Materials Science and Technology (Empa) in St. Gallen. Her expertise lies in the development of sustainable biomaterials for medical applications. Her groundbreaking work focuses on improving the biocompatibility and mechanical properties of implantable devices using natural polymers.,Materials Science,claudia.mueller@empa.ch,https://www.swissfederallaboratoriesformaterialsscienceandtechnologyempa.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Meier,Lukas Meier is a leading expert in industrial automation and robotics at the Eastern Switzerland University of Applied Sciences. His work focuses on integrating advanced AI algorithms into automated systems to enhance precision and efficiency in manufacturing processes.,Automation,lukas.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Meier,Lukas Meier is a leading researcher at the Department of Renewable Energies & Environmental Technology at OST. His work focuses on the integration of renewable energy sources into smart grid systems and the development of innovative solutions for sustainable energy storage.,Sustainable Energy,lukas.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,"Institute for Sustainable Energy Solutions, St. Gallen",Sophie Keller,Sophie Keller is a leading expert at the Institute for Sustainable Energy Solutions in St. Gallen. Her research focuses on the development of advanced solar photovoltaic materials and their integration into energy-efficient building designs. She also works on policy frameworks to enhance the adoption of sustainable energy technologies across Europe.,Sustainable Energy,sophie.keller@isesg.ch,"https://www.instituteforsustainableenergysolutions,st.gallen.ch"
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Dr. Daniela Müller,Dr. Daniela Müller is a leading researcher in the Department of Renewable Energies & Environmental Technology at the Eastern Switzerland University of Applied Sciences. Her work focuses on developing innovative strategies for reducing carbon emissions and enhancing sustainable energy solutions. She is renowned for her research on climate adaptation technologies and her commitment to promoting environmental sustainability in the St. Gallen region.,Climate Protection,daniela.mueller@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Institute for Climate and Energy Innovation,Dr. Markus Schneider,"Dr. Markus Schneider is a prominent figure at the Institute for Climate and Energy Innovation, based in the St. Gallen region. His expertise lies in developing cutting-edge technologies for carbon capture and renewable energy integration. Dr. Schneider is dedicated to advancing climate protection initiatives and collaborates with both local and international partners to enhance sustainable practices.",Climate Protection,markus.schneider@icei.ch,https://www.instituteforclimateandenergyinnovation.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Dr. Claudia Meier,"Dr. Claudia Meier is a leading expert in Environmental Technology, focusing on the development of sustainable energy systems and innovative waste management solutions. She leads research projects at the Eastern Switzerland University of Applied Sciences, contributing significantly to advancements in renewable energy technologies and environmental conservation strategies.",Environmental Technology,claudia.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Swiss Institute for Environmental Research and Technology (SIERT),Dr. Lukas Müller,"Dr. Lukas Müller is a renowned expert in Environmental Technology, specializing in the integration of smart grid technologies and eco-friendly urban planning. At the Swiss Institute for Environmental Research and Technology, he leads cutting-edge projects aimed at enhancing energy efficiency and developing green infrastructure solutions for sustainable cities.",Environmental Technology,lukas.mueller@siert.ch,https://www.swissinstituteforenvironmentalresearchandtechnologysiert.ch
Synthetic,Swiss Institute of Production Management,Lukas Meier,"Lukas Meier is a leading expert in Production Management, specializing in lean manufacturing and process optimization. At the Swiss Institute of Production Management, located in St. Gallen, he leads research projects focused on enhancing efficiency and sustainability in manufacturing processes. His work involves collaborating with industry partners to implement cutting-edge technologies and methodologies in production systems.",Production Management,lukas.meier@sipm.ch,https://www.swissinstituteofproductionmanagement.ch
Synthetic,St. Gallen Institute of Industrial Excellence,Sophie Müller,"Sophie Müller is a renowned expert in Production Management, with a focus on sustainable production systems and digital transformation in manufacturing. At the St. Gallen Institute of Industrial Excellence, she leads initiatives to integrate Industry 4.0 technologies into traditional manufacturing environments, enhancing both productivity and environmental sustainability. Her work frequently involves collaboration with European industrial leaders to develop innovative solutions that address contemporary challenges in production.",Production Management,sophie.mueller@sgiie.ch,https://www.st.galleninstituteofindustrialexcellence.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Meier,"Lukas Meier is a senior lecturer and researcher at the Eastern Switzerland University of Applied Sciences, specializing in logistics and supply chain management. His work focuses on optimizing logistics processes and implementing sustainable practices in supply chain systems. Lukas has published numerous papers on logistics optimization and is actively involved in collaborative projects with industry partners to enhance efficiency in transportation and distribution networks.",Logistics,lukas.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,University of St. Gallen,Clara Müller,"Clara Müller is a professor at the University of St. Gallen, with a focus on logistics and supply chain management. Her research investigates the integration of digital technologies in logistics operations to improve efficiency and sustainability. Clara has a strong track record of publishing in leading logistics journals and collaborates with industry leaders to implement innovative solutions in real-world logistics challenges.",Logistics,clara.mueller@unisg.ch,https://www.universityofst.gallen.ch
Synthetic,University of St. Gallen,Lukas Schmid,"Dr. Lukas Schmid is a renowned expert in Supply Chain Management, focusing on sustainable logistics and supply chain optimization. He leads research projects at the University of St. Gallen, where he also teaches courses on global supply chain strategies and digital transformation in supply chains.",Supply Chain Management,lukas.schmid@unisg.ch,https://www.universityofst.gallen.ch
Synthetic,Swiss Institute of Technology and Business (SITB),Clara Müller,"Clara Müller is a distinguished expert in Supply Chain Management, specializing in digital supply chain innovations and risk management. She is a senior researcher at the Swiss Institute of Technology and Business in St. Gallen, where she leads projects on enhancing supply chain resilience and integrating AI-driven solutions into logistics operations.",Supply Chain Management,clara.mueller@sitb.ch,https://www.swissinstituteoftechnologyandbusinesssitb.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Dr. Isabelle Meier,"Dr. Isabelle Meier is a leading expert in Digital Health, focusing on the integration of advanced AI techniques in telemedicine. She leads a research team at the Eastern Switzerland University of Applied Sciences, where her work involves developing intelligent systems for remote patient monitoring and personalized health interventions.",Digital Health,isabelle.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Institute for Digital Health at the University of St. Gallen,Dr. Lukas Schneider,"Dr. Lukas Schneider is a prominent researcher in Digital Health, specializing in the development of digital platforms for chronic disease management. At the Institute for Digital Health at the University of St. Gallen, he leads several projects aimed at integrating wearable technology with mobile health applications to enhance patient engagement and outcomes.",Digital Health,lukas.schneider@unisg.ch,https://www.institutefordigitalhealthattheuniversityofst.gallen.ch
Synthetic,Data Science Research Center St. Gallen,Claudia Müller,"Claudia Müller is a leading expert in data analysis, specializing in big data and machine learning applications. At the Data Science Research Center St. Gallen, she works on developing innovative algorithms to enhance predictive analytics in various industries, including finance and healthcare.",Data Analysis,claudia.mueller@dsrsg.ch,https://www.datascienceresearchcenterst.gallen.ch
Synthetic,St. Gallen Institute of Data Science,Lukas Meier,"Lukas Meier is an accomplished data analyst with a focus on statistical modeling and data visualization. At the St. Gallen Institute of Data Science, he leads projects that apply advanced data analysis techniques to improve decision-making processes in the fields of logistics and manufacturing.",Data Analysis,lukas.meier@sgids.ch,https://www.st.galleninstituteofdatascience.ch
Synthetic,Swiss Institute of Health Informatics,Dr. Lukas Schmid,"Dr. Lukas Schmid is a leading researcher at the Swiss Institute of Health Informatics in St. Gallen, specializing in the development of interoperable E-Health systems and digital health interventions aimed at improving patient outcomes. His work focuses on integrating advanced data analytics and machine learning techniques into electronic health records to enhance decision-making processes in clinical settings.",E-Health,lukas.schmid@sihealthinformatics.ch,https://www.swissinstituteofhealthinformatics.ch
Synthetic,St. Gallen Health Informatics Research Center,Dr. Anna Müller,"Dr. Anna Müller is a renowned expert in E-Health at the St. Gallen Health Informatics Research Center. She leads projects focused on the integration of telemedicine solutions and patient-centered digital platforms. Her research aims to enhance healthcare accessibility and efficiency through innovative digital health technologies, particularly in rural and underserved areas.",E-Health,anna.mueller@sg-healthinformatics.ch,https://www.st.gallenhealthinformaticsresearchcenter.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Meier,"Lukas Meier is a leading researcher at the Eastern Switzerland University of Applied Sciences, specializing in advanced mechatronic systems. His work focuses on the integration of robotics and automation to develop intelligent machinery for industrial applications.",Mechatronics,lukas.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,"Institute for Mechatronic Systems, OST",Sophie Müller,"Sophie Müller is a senior lecturer and researcher at the Institute for Mechatronic Systems at the Eastern Switzerland University of Applied Sciences (OST). She specializes in the development of autonomous robotic systems and smart sensors for industrial automation, focusing on enhancing precision and efficiency in manufacturing processes.",Mechatronics,sophie.mueller@ost.ch,"https://www.instituteformechatronicsystems,ost.ch"
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Dr. Lukas Meier,"Dr. Lukas Meier is a leading researcher at the Department of Systems Engineering at OST, specializing in autonomous robotic systems and human-robot interaction. His work focuses on developing intelligent algorithms that improve the adaptability and efficiency of robotic systems in dynamic environments.",Robotics,lukas.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
Synthetic,Swiss Institute of Robotics and Automation,Dr. Martina Schaefer,"Dr. Martina Schaefer is a renowned expert in the field of robotics at the Swiss Institute of Robotics and Automation. Her research focuses on the development of collaborative robotics and AI-driven automation systems. She leads projects aimed at enhancing the integration of robots in smart manufacturing environments, optimizing their performance and safety.",Robotics,martina.schaefer@sira.ch,https://www.swissinstituteofroboticsandautomation.ch
Synthetic,Eastern Switzerland University of Applied Sciences (OST),Lukas Meier,"Lukas Meier is a leading researcher in the Department of Transport Systems at the Eastern Switzerland University of Applied Sciences (OST). His expertise lies in sustainable urban mobility solutions, with a focus on integrating smart technology into public transportation systems. He has published numerous papers on the optimization of electric vehicle networks and is actively involved in projects aimed at reducing urban congestion through innovative transport strategies.",Mobility,lukas.meier@ost.ch,https://www.easternswitzerlanduniversityofappliedsciencesost.ch
