Category,Institution,Name,Description,Focus Areas,Contact,Website
Network,Innovation Network Eastern Switzerland - Smart Mobility,Marta Rossi,"Developing solutions in Innovation while conducting research on Cross-border Innovation, Talent Development, Independent Research.","Innovation, Cross-border Innovation, Talent Development, Independent Research",marta@innovation.ch,https://www.innovation.ch
Research,Innosuisse,Mila González,"Studies and innovations in Environmental Technologies, Renewable Energies, Environmental Technology, with primary emphasis on applications in Environmental Technologies.","Environmental Technologies, Renewable Energies, Environmental Technology",m.gonzález@innosuis.ch,https://www.innosuisse.ch
Academia,University of St.Gallen (HSG),Lisa Bachmann,"Studies and innovations in Environmental Technologies, Renewable Energies, Environmental Technology, with primary emphasis on applications in Environmental Technologies.","Environmental Technologies, Renewable Energies, Environmental Technology",lisa.bachmann@unisg.ch,https://www.unisg.ch
Network,St.Gallen Nanotechnology Hub,Philip Larsen,Specializing in ICT with complementary work in SMEs.,"ICT, SMEs",philip.larsen@st.gallen.ch,https://www.st.gallen.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Fabian Huber,"Studies and innovations in ICT, SMEs, with primary emphasis on applications in ICT.","ICT, SMEs",huber.f@unisg.ch,https://www.unisg.ch
Research,St.Gallen Health,Isabella Weber,"Research group focused on Hand Injuries, also exploring Supply Chain Management.","Hand Injuries, Supply Chain Management",i.weber@st.gallen.ch,https://www.st.gallen.ch
Research,"""IT rockt!"" St.Gallen",Theresa Ritter,"Research and teaching in Hand Injuries, Supply Chain Management, with a special emphasis on Hand Injuries.","Hand Injuries, Supply Chain Management",t.ritter@rs.ch,https://www.rs.ch
Academia,Eastern Switzerland University of Applied Sciences - Design and Product Development,Clara Santos,Experts in Market Analysis with additional focus on High Voltage Engineering.,"Market Analysis, High Voltage Engineering",clara.santos@unisg.ch,https://www.unisg.ch
Academia,University of St.Gallen (HSG),Stella Ricci,"Providing expertise in Market Analysis, High Voltage Engineering through research, education, and innovation.","Market Analysis, High Voltage Engineering",stella.ricci@unisg.ch,https://www.unisg.ch
Academia,RhySearch,Stella Ricci,Specializing in Microsurgical Procedures with complementary work in Civil Engineering.,"Microsurgical Procedures, Civil Engineering",stella.ricci@rhysearc.ch,https://www.rhysearc.ch
Academia,University of St.Gallen - Center for Financial Studies,Paul Vogel,Developing solutions in Microsurgical Procedures while conducting research on Civil Engineering.,"Microsurgical Procedures, Civil Engineering",vogel.p@unisg.ch,https://www.unisg.ch
Research,Institute for Sustainable Energy Systems,Leonie Moreau,"Providing expertise in Urban Development, Product Innovation, Service Development through research, education, and innovation.","Urban Development, Product Innovation, Service Development",leonie@institut.ch,https://www.institute.ch
Research,Bühler AG Innovation Lab,Sophie Dufour,"Research and teaching in Urban Development, Product Innovation, Service Development, with a special emphasis on Urban Development.","Urban Development, Product Innovation, Service Development",s.dufour@bühler.ch,https://www.bühler.ch
Research,St.Gallen Biotech Innovation Center,David Müller,"Advancing knowledge and applications in Energy-efficient Buildings, Process Optimization, particularly Energy-efficient Buildings.","Energy-efficient Buildings, Process Optimization",david@st.gallen.ch,https://www.st.gallen.ch
Academia,University of St.Gallen - Center for Business Analytics,Roman Koch,"Research and teaching in Energy-efficient Buildings, Process Optimization, with a special emphasis on Energy-efficient Buildings.","Energy-efficient Buildings, Process Optimization",rkoch@unisg.ch,https://www.unisg.ch
Network,RhySearch,Felix Martin,"Research group focused on Optical Coatings, also exploring Product Launch.","Optical Coatings, Product Launch",felix@rhysearc.ch,https://www.rhysearc.ch
Research,St.Gallen Institute for International Affairs,Florian Sutter,"Research and teaching in Optical Coatings, Product Launch, with a special emphasis on Optical Coatings.","Optical Coatings, Product Launch",f.sutter@stgallen.ch,https://www.st.gallen.ch
Research,Nestlé Food Science Institute,Fabian Huber,"Studies and innovations in Sustainability, Technology Development, with primary emphasis on applications in Sustainability.","Sustainability, Technology Development",huber.f@nestlfoo.ch,https://www.nestlé.ch
Research,Roche Diagnostics Research Unit,Lucas Bianchi,"Providing expertise in Sustainability, Technology Development through research, education, and innovation.","Sustainability, Technology Development",l.bianchi@ost.ch,https://www.ost.ch
Research,Swiss Federal Institute for Technology St.Gallen,Patrick Fuchs,"Specializing in Latin America with complementary work in Legal Advice, Consulting.","Latin America, Legal Advice, Consulting",patrick.fuchs@swissfed.ch,https://www.swiss.ch
Research,St.Gallen Institute for Digital Ethics,Oscar Lindberg,"Developing solutions in Latin America while conducting research on Legal Advice, Consulting.","Latin America, Legal Advice, Consulting",oscar.lindberg@stgallen.ch,https://www.st.gallen.ch
Academia,Empa - Materials Science Division,Tom Schulz,Developing solutions in Clinical Study Design while conducting research on Precision Medicine.,"Clinical Study Design, Precision Medicine",schulz.t@empa.ch,https://www.empa.ch
Academia,Eastern Switzerland University of Applied Sciences - Renewable Energy Research,Clara Santos,Experts in Clinical Study Design with additional focus on Precision Medicine.,"Clinical Study Design, Precision Medicine",clara.santos@unisg.ch,https://www.unisg.ch
Academia,Empa - Smart Cities Division,Ines Horváth,"Experts in Systemic Solutions with additional focus on Medical Technology, Finance, Biomedical Imaging.","Systemic Solutions, Medical Technology, Finance, Biomedical Imaging",ihorváth@empa.ch,https://www.empa.ch
Academia,University of St.Gallen - Center for Public Policy,Jasmin Baumann,"Research group focused on Systemic Solutions, also exploring Medical Technology, Finance, Biomedical Imaging.","Systemic Solutions, Medical Technology, Finance, Biomedical Imaging",j.baumann@unisg.ch,https://www.unisg.ch
Research,St.Gallen Institute for International Affairs,Tobias Keller,"Advancing knowledge and applications in Economic Policy, Banking, particularly Economic Policy.","Economic Policy, Banking",t.keller@stgallen.ch,https://www.st.gallen.ch
Network,Innovation Network Eastern Switzerland - AgriTech,Alice Keller,"Research and teaching in Immunobiology, Sensor Technology, Feasibility Studies, with a special emphasis on Immunobiology.","Immunobiology, Sensor Technology, Feasibility Studies",a.keller@innovation.ch,https://www.innovation.ch
Research,St.Gallen Artificial Intelligence Institute,Leo Hoffmann,"Developing solutions in Immunobiology while conducting research on Sensor Technology, Feasibility Studies.","Immunobiology, Sensor Technology, Feasibility Studies",l.hoffmann@stgallen.ch,https://www.st.gallen.ch
Academia,University of St.Gallen (HSG),Felix Martin,"Research and teaching in Startup Support, Automation, with a special emphasis on Startup Support.","Startup Support, Automation",felix.martin@unisg.ch,https://www.unisg.ch
Academia,University of St.Gallen - Center for Entrepreneurship,Felix Martin,"Studies and innovations in Startup Support, Automation, with primary emphasis on applications in Startup Support.","Startup Support, Automation",felix@unisg.ch,https://www.unisg.ch
Research,St.Gallen Institute for International Affairs,Marc Leroy,"Providing expertise in Manufacturing Technology, Environmental Technology, Digital Transformation through research, education, and innovation.","Manufacturing Technology, Environmental Technology, Digital Transformation",marc.leroy@stgallen.ch,https://www.st.gallen.ch
Research,St.Gallen Center for Digital Transformation,Niklas Heinrich,"Specializing in Manufacturing Technology with complementary work in Environmental Technology, Digital Transformation.","Manufacturing Technology, Environmental Technology, Digital Transformation",n.heinrich@st.gallen.ch,https://www.st.gallen.ch
Government,Canton of St.Gallen - Innovation and Technology Office,Tom Schulz,"Research and teaching in Food Innovation, Innovation, Product Launch, Social Innovation, with a special emphasis on Food Innovation.","Food Innovation, Innovation, Product Launch, Social Innovation",schulz.t@canton.ch,https://www.canton.ch
Network,Innovation Network Eastern Switzerland - AgriTech,Ella García,"Providing expertise in Food Innovation, Innovation, Product Launch, Social Innovation through research, education, and innovation.","Food Innovation, Innovation, Product Launch, Social Innovation",egarcía@innovation.ch,https://www.innovation.ch
Research,HILTI Research Facility,Ines Horváth,"Experts in Market Entry with additional focus on Market Analysis, Mechanical Engineering, Global Collaboration.","Market Entry, Market Analysis, Mechanical Engineering, Global Collaboration",ines@hiltires.ch,https://www.hilti.ch
Network,St.Gallen Innovation Hub,Tobias Keller,"Experts in Market Entry with additional focus on Market Analysis, Mechanical Engineering, Global Collaboration.","Market Entry, Market Analysis, Mechanical Engineering, Global Collaboration",tobias.keller@st.gallen.ch,https://www.st.gallen.ch
Network,Switzerland Innovation Park Ost - Digital Manufacturing,Lisa Bachmann,"Providing expertise in Industry Representation, Family Businesses, Biotechnology through research, education, and innovation.","Industry Representation, Family Businesses, Biotechnology",lisa.bachmann@ost.ch,https://www.ost.ch
Research,ABB Research Hub St.Gallen,Jon Engel,"Specializing in Industry Representation with complementary work in Family Businesses, Biotechnology.","Industry Representation, Family Businesses, Biotechnology",j.engel@abbresea.ch,https://www.arhs.ch
Academia,University of St.Gallen - Center for Economic Policy,Ruben Nielsen,"Research group focused on Robotics, also exploring Digital Sustainability, Feasibility Studies.","Robotics, Digital Sustainability, Feasibility Studies",nielsen.r@unisg.ch,https://www.unisg.ch
Research,St.Gallen Robotics Institute,Valentina Bianchi,"Advancing knowledge and applications in Robotics, Digital Sustainability, Feasibility Studies, particularly Robotics.","Robotics, Digital Sustainability, Feasibility Studies",v.bianchi@stgallen.ch,https://www.st.gallen.ch
Academia,University of St.Gallen - Center for Public Policy,Lara Novak,"Advancing knowledge and applications in Coating Technologies, IT Strategy, particularly Coating Technologies.","Coating Technologies, IT Strategy",lnovak@unisg.ch,https://www.unisg.ch
Research,St.Gallen Artificial Intelligence Institute,Magdalena Lang,"Research group focused on Coating Technologies, also exploring IT Strategy.","Coating Technologies, IT Strategy",magdalena@stgallen.ch,https://www.st.gallen.ch
Research,St.Gallen Institute for Digital Ethics,Lara Novak,"Research group focused on Landscape Architecture, also exploring Electrical Engineering.","Landscape Architecture, Electrical Engineering",lara.novak@stgallen.ch,https://www.st.gallen.ch
Academia,University of St.Gallen - Center for Marketing Studies,Andreas Simic,"Advancing knowledge and applications in Landscape Architecture, Electrical Engineering, particularly Landscape Architecture.","Landscape Architecture, Electrical Engineering",a.simic@unisg.ch,https://www.unisg.ch
Network,Innovation Network Eastern Switzerland,Sofia Carvalho,"Studies and innovations in E-Health, Clinical Support, Healthcare Industry, Medical Technology, with primary emphasis on applications in E-Health.","E-Health, Clinical Support, Healthcare Industry, Medical Technology",scarvalho@innovation.ch,https://www.innovation.ch
Academia,University of St.Gallen - Center for Marketing Studies,Klara Németh,"Providing expertise in E-Health, Clinical Support, Healthcare Industry, Medical Technology through research, education, and innovation.","E-Health, Clinical Support, Healthcare Industry, Medical Technology",klara.németh@unisg.ch,https://www.unisg.ch
Research,St.Gallen Institute of Technology and Innovation,Matteo Rossi,"Specializing in Nanoscale Materials with complementary work in Legal Advice, Policy Representation, Risk Management.","Nanoscale Materials, Legal Advice, Policy Representation, Risk Management",matteo.rossi@stgallen.ch,https://www.st.gallen.ch
Academia,Eastern Switzerland University of Applied Sciences - Applied AI Laboratory,Jan Kraus,"Studies and innovations in Nanoscale Materials, Legal Advice, Policy Representation, Risk Management, with primary emphasis on applications in Nanoscale Materials.","Nanoscale Materials, Legal Advice, Policy Representation, Risk Management",jan.kraus@unisg.ch,https://www.unisg.ch
Network,Empa - Smart Cities Division,Niklas Heinrich,"Providing expertise in Smart Cities, Technology Law, Software Development through research, education, and innovation.","Smart Cities, Technology Law, Software Development",niklas.heinrich@empa.ch,https://www.empa.ch
Network,Empa - Smart Cities Division,Felix Martin,"Developing solutions in Smart Cities while conducting research on Technology Law, Software Development.","Smart Cities, Technology Law, Software Development",felix.martin@empa.ch,https://www.empa.ch
Research,St.Gallen Institute for Human Resources Management,Matteo Rossi,"Studies and innovations in Business Law, Business Networking, Management, with primary emphasis on applications in Business Law.","Business Law, Business Networking, Management",rossi.m@stgallen.ch,https://www.st.gallen.ch
Research,St.Gallen Institute for Human Resources Management,Valentina Bianchi,"Research group focused on Business Law, also exploring Business Networking, Management.","Business Law, Business Networking, Management",valentina.bianchi@stgallen.ch,https://www.st.gallen.ch
Academia,"""IT rockt!"" St.Gallen",Aline Stahl,"Providing expertise in Oncology, Risk Management through research, education, and innovation.","Oncology, Risk Management",astahl@rs.ch,https://www.rs.ch
Academia,Innosuisse - Eastern Switzerland Division,Anastasia Schulze,"Studies and innovations in Oncology, Risk Management, with primary emphasis on applications in Oncology.","Oncology, Risk Management",a.schulze@innosuisse.ch,https://www.innosuisse.ch
Academia,Eastern Switzerland University of Applied Sciences - Water Management Research,Ella García,"Experts in Smart Infrastructure with additional focus on Commercialization, Smart Cities.","Smart Infrastructure, Commercialization, Smart Cities",e.garcía@unisg.ch,https://www.unisg.ch
Academia,Empa - Smart Cities Division,Elena Kovács,"Advancing knowledge and applications in Smart Infrastructure, Commercialization, Smart Cities, particularly Smart Infrastructure.","Smart Infrastructure, Commercialization, Smart Cities",elena.kovács@empa.ch,https://www.empa.ch
Research,St.Gallen Institute for Human Resources Management,Philip Larsen,"Studies and innovations in Clinical Neurology, Digital Health, Precision Medicine, with primary emphasis on applications in Clinical Neurology.","Clinical Neurology, Digital Health, Precision Medicine",philip@stgallen.ch,https://www.st.gallen.ch
Academia,University of St.Gallen - Behavioral Science Institute,Jan Kraus,"Research group focused on Clinical Neurology, also exploring Digital Health, Precision Medicine.","Clinical Neurology, Digital Health, Precision Medicine",kraus.j@unisg.ch,https://www.unisg.ch
Research,St.Gallen Artificial Intelligence Institute,Leo Hoffmann,"Specializing in Haematology with complementary work in Healthcare Research, Family Businesses, Networking.","Haematology, Healthcare Research, Family Businesses, Networking",leo@stgallen.ch,https://www.st.gallen.ch
Association,Cantonal Trade Association St.Gallen (KGV),Lara Novak,"Developing solutions in Haematology while conducting research on Healthcare Research, Family Businesses, Networking.","Haematology, Healthcare Research, Family Businesses, Networking",lara.novak@cantonal.ch,https://www.cantonal.ch
Research,Swiss Federal Institute for Technology St.Gallen,Felix Martin,"Providing expertise in Economic Information, Corporate Finance, International Economics through research, education, and innovation.","Economic Information, Corporate Finance, International Economics",fmartin@swissfed.ch,https://www.swiss.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Lucas Bianchi,"Studies and innovations in Economic Information, Corporate Finance, International Economics, with primary emphasis on applications in Economic Information.","Economic Information, Corporate Finance, International Economics",bianchi.l@unisg.ch,https://www.unisg.ch
Research,St.Gallen Institute for Human Resources Management,Lara Novak,"Research group focused on Business Administration, also exploring Business Models, Management, Organization.","Business Administration, Business Models, Management, Organization",l.novak@stgallen.ch,https://www.st.gallen.ch
Research,St.Gallen Institute for Human Resources Management,Maya Gupta,"Experts in Business Administration with additional focus on Business Models, Management, Organization.","Business Administration, Business Models, Management, Organization",maya.gupta@stgallen.ch,https://www.st.gallen.ch
Academia,Eastern Switzerland University of Applied Sciences (OST),Christian Wagner,"Advancing knowledge and applications in Data Analysis, Logistics, Environmental Technology, particularly Data Analysis.","Data Analysis, Logistics, Environmental Technology",c.wagner@unisg.ch,https://www.unisg.ch
Research,Nestlé Food Science Institute,Niklas Heinrich,"Research and teaching in Data Analysis, Logistics, Environmental Technology, with a special emphasis on Data Analysis.","Data Analysis, Logistics, Environmental Technology",nheinrich@nestlfoo.ch,https://www.nestlé.ch
Network,Switzerland Innovation Park Ost - Digital Manufacturing,Georg Meyer,"Experts in Electronic Applications with additional focus on Business Law, Strategy.","Electronic Applications, Business Law, Strategy",georg@ost.ch,https://www.ost.ch
Academia,Eastern Switzerland University of Applied Sciences - Cybersecurity Lab,Oscar Lindberg,"Research and teaching in Electronic Applications, Business Law, Strategy, with a special emphasis on Electronic Applications.","Electronic Applications, Business Law, Strategy",oscar@unisg.ch,https://www.unisg.ch
Research,SFS Group Innovation Center,Matteo Rossi,"Studies and innovations in Smart City Projects, Technology Management, Electrical Engineering, with primary emphasis on applications in Smart City Projects.","Smart City Projects, Technology Management, Electrical Engineering",matteo.rossi@sgic.ch,https://www.sgic.ch
Research,Swiss Federal Institute for Technology St.Gallen,Mila González,"Developing solutions in Smart City Projects while conducting research on Technology Management, Electrical Engineering.","Smart City Projects, Technology Management, Electrical Engineering",mila.gonzález@swissfed.ch,https://www.swiss.ch
